,Point,Pass,DontPass,betName,betAmt,Q,N
0,5,5,0,hiLo,5,-2.830188679245284,53
1,6,0,5,horn,5,0.5000000000000001,20
2,4,0,5,place5,5,7.2,5
3,6,5,0,boxcars,5,-2.903225806451614,124
4,11,5,0,None,0,5.0,859
5,9,5,0,aceDuece,5,-2.608695652173913,69
6,8,5,0,passOdds,5,1.8695652173913042,23
7,7,0,5,None,0,-5.0,2471
8,12,0,5,None,0,5.0,404
9,6,5,0,aceDuece,5,-1.914893617021276,94
10,3,0,5,None,0,5.0,786
11,4,0,5,hard6,5,2.884615384615384,52
12,2,0,5,None,0,5.0,412
13,9,5,0,yoleven,5,-3.3898305084745775,59
14,8,0,5,dontCome,5,3.5,40
15,4,5,0,boxcars,5,2.285714285714286,70
16,8,0,5,aceDuece,5,1.935483870967741,62
17,7,5,0,None,0,5.0,2513
18,10,0,5,big6,5,4.444444444444445,18
19,6,0,5,hard8,5,4.363636363636365,55
20,10,0,5,hard6,5,2.0370370370370363,54
21,5,0,5,cAndE,5,-1.1764705882352944,17
22,5,5,0,place8,5,0.4629629629629641,18
23,8,5,0,hard8,5,-8.049116928532385e-16,61
24,8,0,5,hard6,5,-1.1940298507462686,67
25,9,0,5,hard6,5,-3.885780586188048e-16,53
26,5,0,5,boxcars,5,-0.25000000000000006,80
27,5,0,5,hiLo,5,2.105263157894736,57
28,8,5,0,boxcars,5,0.74468085106383,141
29,9,5,0,hiLo,5,3.9344262295081953,61
30,2,5,0,None,0,-5.0,416
31,6,0,5,boxcars,5,-1.074074074074073,135
32,5,0,5,buy8,5,2.509999999999999,25
33,8,0,5,boxcars,5,-2.991071428571429,112
34,4,5,0,place6,5,-1.972222222222222,30
35,8,5,0,yoleven,5,-2.4615384615384612,65
36,9,5,0,None,0,-2.5,4
37,9,5,0,hard8,5,-3.0769230769230766,52
38,5,5,0,aceDuece,5,-6.97674418604651,43
39,8,0,5,bigRed,5,-4.090909090909092,22
40,4,0,5,hard8,5,3.0232558139534884,43
41,4,5,0,place5,5,-0.2500000000000002,8
42,10,5,0,boxcars,5,3.8815789473684217,76
43,8,5,0,aceDuece,5,-3.3333333333333335,66
44,5,0,5,aceDuece,5,0.1754385964912279,57
45,5,0,5,yoleven,5,-1.4035087719298245,57
46,9,5,0,snakeeyes,5,0.8000000000000008,100
47,4,0,5,buy6,5,2.195652173913044,23
48,10,5,0,hiLo,5,-4.749999999999999,40
49,5,0,5,snakeeyes,5,3.3707865168539337,89
50,6,0,5,snakeeyes,5,-3.0916030534351138,131
51,6,5,0,snakeeyes,5,-0.07812499999999827,128
52,3,5,0,None,0,-5.0,900
53,6,5,0,hard8,5,1.2500000000000004,80
54,11,0,5,None,0,-5.0,861
55,8,0,5,cAndE,5,1.4285714285714288,21
56,4,0,5,buy5,5,4.35,10
57,12,5,0,None,0,-5.0,420
58,10,0,5,yoleven,5,2.7027027027027026,37
59,5,5,0,buy9,5,-4.096153846153846,13
60,8,5,0,hard6,5,-0.5084745762711864,59
61,9,0,5,hard8,5,-2.3214285714285725,56
62,8,5,0,snakeeyes,5,-1.8881118881118877,143
63,5,5,0,hard4,5,-2.5925925925925926,27
64,6,0,5,place4,5,-4.0,5
65,6,5,0,comeOdds,5,-1.8333333333333335,18
66,6,0,5,place8,5,3.578431372549021,17
67,10,0,5,anyCraps,5,-5.0,6
68,10,0,5,boxcars,5,3.4693877551020407,49
69,4,5,0,hard8,5,0.5769230769230775,52
70,6,5,0,None,0,0.9999999999999999,15
71,10,5,0,yoleven,5,-4.137931034482758,29
72,4,5,0,buy4,5,2.375,8
73,6,5,0,cAndE,5,-3.5714285714285716,14
74,8,5,0,place6,5,2.239583333333335,16
75,5,5,0,big6,5,-2.7272727272727266,11
76,4,5,0,hard10,5,-3.1578947368421044,19
77,10,0,5,buy8,5,-0.49999999999999944,14
78,10,5,0,snakeeyes,5,-4.710144927536233,69
79,8,0,5,hiLo,5,0.13513513513513548,74
80,4,5,0,hard4,5,-7.500000000000001,20
81,4,5,0,horn,5,-5.714285714285714,7
82,9,5,0,buy5,5,1.4615384615384617,13
83,10,0,5,dontCome,5,2.5000000000000004,24
84,9,5,0,comeOdds,5,2.3749999999999996,20
85,5,0,5,big8,5,-4.0,10
86,5,0,5,place6,5,2.840909090909093,22
87,5,5,0,boxcars,5,2.052631578947369,95
88,6,0,5,place9,5,-0.6666666666666667,21
89,4,0,5,place6,5,1.8452380952380967,14
90,4,0,5,hiLo,5,1.9354838709677418,31
91,10,5,0,hard6,5,-0.8695652173913049,46
92,9,0,5,hiLo,5,5.5102040816326525,49
93,10,0,5,buy9,5,-0.09090909090909069,11
94,6,0,5,hiLo,5,0.8571428571428579,70
95,10,0,5,aceDuece,5,1.875,32
96,6,0,5,hard10,5,-2.9166666666666665,24
97,4,5,0,place8,5,-0.17857142857142727,14
98,5,0,5,place9,5,3.866666666666666,15
99,10,0,5,buy6,5,-1.460526315789474,19
100,4,5,0,hard6,5,1.395348837209302,43
101,4,5,0,big6,5,-1.6666666666666674,18
102,9,5,0,passOdds,5,-2.5000000000000004,15
103,9,0,5,aceDuece,5,-2.7755575615628914e-16,64
104,8,5,0,field,5,-2.0,5
105,6,5,0,hard4,5,-1.8181818181818181,22
106,9,0,5,snakeeyes,5,3.010752688172043,93
107,6,5,0,hiLo,5,-1.5277777777777783,72
108,4,5,0,place4,5,1.9999999999999998,8
109,4,5,0,hiLo,5,-2.258064516129033,31
110,8,5,0,bigRed,5,-2.5,4
111,6,5,0,place9,5,-1.5,8
112,6,5,0,yoleven,5,-2.73972602739726,73
113,9,5,0,place6,5,-0.09803921568627316,17
114,5,5,0,buy5,5,-2.5833333333333335,6
115,10,0,5,horn,5,-4.440892098500626e-16,7
116,6,5,0,place5,5,0.1538461538461533,13
117,8,0,5,horn,5,0.2678571428571433,28
118,10,5,0,aceDuece,5,-6.969696969696969,33
119,6,0,5,hard4,5,-1.9230769230769225,26
120,6,0,5,bigRed,5,1.1111111111111116,18
121,9,5,0,hard10,5,-1.4285714285714277,21
122,10,5,0,buy5,5,-3.3214285714285716,14
123,8,5,0,place5,5,-3.5999999999999996,5
124,9,0,5,boxcars,5,3.333333333333333,87
125,8,5,0,cAndE,5,1.6666666666666674,24
126,8,0,5,snakeeyes,5,0.04672897196261774,107
127,5,5,0,hard8,5,-0.8620689655172419,58
128,10,5,0,hard8,5,3.3333333333333335,30
129,9,5,0,boxcars,5,-5.784313725490196,102
130,5,5,0,big8,5,-3.529411764705882,17
131,10,0,5,cAndE,5,5.0,10
132,4,0,5,hard10,5,-1.1102230246251565e-16,14
133,6,0,5,big8,5,2.5,12
134,4,5,0,big8,5,-2.666666666666667,15
135,10,0,5,place9,5,7.771561172376096e-16,13
136,5,5,0,hard10,5,-3.999999999999999,15
137,8,5,0,hiLo,5,-1.1392405063291131,79
138,8,0,5,anyCraps,5,-4.444444444444444,9
139,5,0,5,hard10,5,-5.0,26
140,4,5,0,yoleven,5,1.0714285714285712,28
141,8,5,0,place8,5,-3.0555555555555545,15
142,9,0,5,yoleven,5,0.8333333333333335,48
143,5,0,5,hard8,5,-2.0930232558139537,43
144,4,5,0,buy5,5,-5.392857142857143,7
145,4,0,5,buy10,5,-4.285714285714286,7
146,8,5,0,hard10,5,-5.454545454545454,22
147,4,5,0,buy6,5,-0.6184210526315789,19
148,4,5,0,buy8,5,0.6176470588235294,17
149,8,5,0,horn,5,2.7604166666666665,24
150,9,5,0,world,5,-5.0,3
151,5,0,5,hard4,5,5.999999999999999,20
152,4,5,0,place9,5,-2.4,15
153,6,0,5,place10,5,-3.25,8
154,5,5,0,snakeeyes,5,-6.000000000000002,105
155,9,0,5,buy8,5,-2.3088235294117645,17
156,4,0,5,aceDuece,5,4.615384615384615,26
157,4,5,0,passOdds,5,4.2857142857142865,7
158,6,5,0,buy8,5,-3.35,20
159,10,0,5,hiLo,5,1.5789473684210529,38
160,6,0,5,place5,5,2.7272727272727266,11
161,5,5,0,hard6,5,-2.2222222222222228,54
162,5,5,0,comeOdds,5,-1.346153846153846,13
163,10,0,5,big8,5,1.7270135938613546e-16,9
164,9,5,0,place9,5,-3.7142857142857144,14
165,8,0,5,buy6,5,-0.3289473684210526,19
166,9,0,5,place5,5,3.111111111111112,9
167,6,0,5,dontPassOdds,5,-0.41666666666666574,14
168,9,5,0,anyCraps,5,-5.555555555555555,9
169,5,5,0,place6,5,2.2000000000000015,25
170,6,5,0,buy9,5,-2.2115384615384617,13
171,9,5,0,place5,5,-2.0,10
172,10,5,0,None,0,5.0,1
173,10,5,0,buy8,5,0.05208333333333359,24
174,6,0,5,yoleven,5,3.066666666666667,75
175,6,5,0,hard10,5,-4.838709677419353,31
176,9,5,0,hard4,5,-7.6190476190476195,21
177,4,0,5,dontCome,5,1.5789473684210522,19
178,8,0,5,hard10,5,-4.000000000000001,25
179,6,0,5,dontComeOdds,5,-4.010416666666666,16
180,6,5,0,big8,5,0.0,10
181,9,0,5,big8,5,-0.9090909090909091,11
182,4,5,0,buy9,5,1.6500000000000001,15
183,6,5,0,anyCraps,5,4.444444444444445,9
184,5,5,0,yoleven,5,-4.0298507462686555,67
185,10,0,5,snakeeyes,5,0.5208333333333333,48
186,5,5,0,passOdds,5,-2.5,12
187,10,0,5,lay6,5,5.166666666666666,5
188,9,0,5,place6,5,1.5740740740740753,18
189,4,0,5,snakeeyes,5,2.3636363636363646,55
190,8,0,5,dontPassOdds,5,-5.490196078431373,17
191,10,0,5,place8,5,9.444444444444446,21
192,4,0,5,buy9,5,1.055555555555556,18
193,8,0,5,yoleven,5,4.050632911392405,79
194,10,5,0,comeOdds,5,-5.000000000000001,15
195,8,0,5,buy9,5,5.800000000000001,10
196,9,5,0,big6,5,-2.142857142857143,14
197,10,5,0,buy10,5,-0.10000000000000009,10
198,6,5,0,buy6,5,-3.3977272727272725,22
199,10,0,5,hard8,5,5.135135135135135,37
200,9,5,0,place4,5,7.0,2
201,9,5,0,buy8,5,-3.208333333333333,12
202,6,0,5,buy4,5,0.4249999999999998,10
203,5,0,5,dontCome,5,0.3703703703703703,27
204,6,5,0,passOdds,5,1.3076923076923077,26
205,6,0,5,aceDuece,5,-1.9642857142857137,56
206,10,0,5,world,5,0.0,1
207,10,5,0,place6,5,-3.6666666666666656,15
208,4,0,5,big6,5,-2.0,10
209,6,5,0,world,5,0.25,4
210,6,5,0,horn,5,-3.3333333333333335,24
211,8,5,0,buy6,5,-3.1847826086956523,23
212,10,5,0,place8,5,-3.823529411764706,17
213,6,0,5,hard6,5,-0.4878048780487806,41
214,9,5,0,bigRed,5,-5.0,2
215,8,5,0,world,5,0.7000000000000004,10
216,9,0,5,hard4,5,4.285714285714286,21
217,4,0,5,boxcars,5,8.181818181818185,55
218,6,5,0,place8,5,2.1180555555555567,24
219,10,5,0,cAndE,5,-3.333333333333333,6
220,6,5,0,hard6,5,3.1578947368421058,57
221,9,0,5,buy6,5,3.2777777777777777,18
222,4,5,0,snakeeyes,5,-3.5294117647058822,68
223,4,0,5,buy8,5,1.0000000000000002,16
224,6,5,0,come,5,1.1102230246251565e-16,14
225,8,0,5,hard4,5,-3.3306690738754696e-16,21
226,10,0,5,hard10,5,6.666666666666668,3
227,10,0,5,place5,5,2.857142857142857,7
228,5,0,5,dontPassOdds,5,-3.8888888888888893,3
229,9,0,5,place8,5,-3.148148148148148,18
230,10,5,0,passOdds,5,-4.230769230769231,13
231,5,0,5,dontComeOdds,5,-0.8333333333333337,6
232,5,0,5,big6,5,-2.220446049250313e-16,14
233,5,0,5,buy10,5,-2.0499999999999994,10
234,9,0,5,bigRed,5,-0.6249999999999999,8
235,9,5,0,place8,5,2.5520833333333357,16
236,6,0,5,buy5,5,0.75,12
237,6,5,0,buy5,5,-1.5000000000000002,14
238,6,0,5,buy10,5,2.035714285714286,7
239,6,0,5,None,0,-3.333333333333333,12
240,10,5,0,big8,5,3.3333333333333335,9
241,8,0,5,big6,5,-4.440892098500626e-16,14
242,8,0,5,place6,5,2.7192982456140373,19
243,9,5,0,hard6,5,3.7837837837837838,37
244,8,5,0,comeOdds,5,-1.4090909090909094,22
245,6,0,5,field,5,-4.0,5
246,5,5,0,buy8,5,-4.086538461538463,26
247,8,0,5,None,0,-1.3636363636363638,11
248,4,0,5,horn,5,1.0,10
249,10,5,0,hard4,5,-2.857142857142857,21
250,8,5,0,big6,5,-3.0769230769230775,13
251,5,5,0,place5,5,-1.2,10
252,8,5,0,buy10,5,2.9687500000000004,8
253,8,5,0,big8,5,2.7272727272727275,11
254,5,5,0,anyCraps,5,-6.0,5
255,9,0,5,dontCome,5,1.4285714285714286,21
256,5,0,5,place8,5,-0.2631578947368415,19
257,10,0,5,buy5,5,-2.5,12
258,10,5,0,buy4,5,-3.9722222222222223,9
259,5,0,5,hard6,5,-0.6249999999999999,48
260,10,5,0,place4,5,-7.5,4
261,8,5,0,hard4,5,-1.4814814814814818,27
262,8,0,5,lay6,5,2.239583333333333,4
263,9,5,0,lay5,5,-10.0,1
264,5,0,5,horn,5,5.454545454545455,11
265,5,5,0,place9,5,4.8888888888888875,9
266,10,5,0,hard10,5,3.333333333333333,15
267,9,5,0,horn,5,-3.333333333333333,12
268,6,5,0,field,5,-5.0,2
269,10,0,5,hard4,5,-1.5,20
270,5,5,0,place10,5,-7.142857142857143,7
271,9,0,5,buy5,5,1.9318181818181825,11
272,10,5,0,buy6,5,-2.1600000000000006,25
273,9,0,5,hard10,5,-1.8181818181818175,11
274,4,0,5,place8,5,0.7894736842105268,19
275,9,5,0,lay6,5,-0.6250000000000007,5
276,8,0,5,buy10,5,-3.6071428571428568,7
277,5,0,5,buy6,5,2.769230769230769,13
278,8,5,0,buy5,5,-3.7750000000000004,10
279,6,0,5,lay8,5,-0.5208333333333335,4
280,10,5,0,place9,5,4.571428571428571,7
281,4,0,5,lay8,5,17.916666666666664,1
282,9,0,5,horn,5,4.821428571428571,14
283,5,0,5,buy9,5,-3.75,8
284,9,5,0,big8,5,-1.428571428571428,14
285,10,0,5,buy4,5,-3.3333333333333335,3
286,4,0,5,lay6,5,4.131944444444444,6
287,5,5,0,buy6,5,-2.632352941176471,17
288,10,5,0,big6,5,-4.545454545454545,11
289,9,5,0,buy6,5,2.4875000000000003,20
290,6,0,5,buy8,5,-0.6527777777777777,18
291,8,5,0,buy4,5,-2.772727272727273,11
292,4,5,0,aceDuece,5,-0.2564102564102573,39
293,6,5,0,big6,5,-4.285714285714286,7
294,5,0,5,place4,5,0.5999999999999999,10
295,9,0,5,buy10,5,1.8437499999999996,8
296,6,5,0,buy10,5,-1.75,3
297,8,0,5,buy5,5,4.833333333333332,12
298,9,0,5,lay5,5,-10.0,1
299,5,5,0,world,5,0.0,3
300,9,0,5,lay6,5,0.8796296296296294,9
301,6,0,5,buy9,5,-0.9166666666666673,18
302,8,0,5,place5,5,3.0909090909090917,11
303,8,5,0,buy8,5,0.3750000000000002,12
304,4,5,0,comeOdds,5,-3.7500000000000004,8
305,9,5,0,cAndE,5,-3.3333333333333335,6
306,9,5,0,buy9,5,-0.11111111111111138,9
307,5,0,5,lay9,5,-5.0,2
308,4,0,5,hard4,5,1.4285714285714286,7
309,6,0,5,cAndE,5,2.0000000000000004,20
310,9,0,5,place10,5,0.8,5
311,8,0,5,hard8,5,0.34482758620689635,29
312,8,5,0,buy9,5,0.1250000000000002,10
313,6,5,0,place6,5,-1.0714285714285705,14
314,9,0,5,buy4,5,2.694444444444444,9
315,9,5,0,buy4,5,-2.2777777777777777,9
316,4,0,5,place10,5,-2.0,3
317,10,0,5,place6,5,5.714285714285717,14
318,4,5,0,world,5,-2.5,2
319,10,5,0,lay6,5,-3.680555555555556,6
320,4,5,0,lay6,5,4.958333333333332,5
321,4,0,5,big8,5,-3.333333333333333,9
322,9,0,5,place4,5,-3.3333333333333335,3
323,10,0,5,place4,5,14.571428571428571,7
324,9,5,0,buy10,5,-2.178571428571429,7
325,8,5,0,anyCraps,5,-1.8181818181818181,11
326,8,0,5,field,5,4.0,5
327,8,0,5,place4,5,-5.0,4
328,8,5,0,place4,5,-3.3333333333333335,3
329,10,5,0,place5,5,3.7777777777777786,9
330,4,5,0,buy10,5,-3.1562499999999996,8
331,5,0,5,buy4,5,1.78125,8
332,4,0,5,cAndE,5,1.4285714285714288,7
333,9,0,5,world,5,-1.6666666666666667,3
334,6,5,0,lay8,5,-1.5740740740740746,9
335,8,5,0,place9,5,-3.5,8
336,8,5,0,come,5,-1.1111111111111107,9
337,8,5,0,lay6,5,-6.0,5
338,5,5,0,lay5,5,-10.0,1
339,6,5,0,place4,5,-7.5,4
340,4,5,0,cAndE,5,2.220446049250313e-16,10
341,5,0,5,field,5,3.333333333333333,3
342,5,0,5,place10,5,-2.0000000000000004,6
343,5,5,0,buy4,5,-3.9166666666666665,9
344,5,5,0,lay6,5,-1.4583333333333337,9
345,5,0,5,bigRed,5,0.0,10
346,10,5,0,anyCraps,5,-10.0,1
347,4,0,5,yoleven,5,1.3636363636363638,22
348,9,5,0,place10,5,-5.2,5
349,6,0,5,dontCome,5,0.9677419354838711,31
350,5,0,5,anyCraps,5,-3.333333333333333,3
351,10,0,5,lay8,5,4.958333333333331,5
352,6,0,5,anyCraps,5,0.8333333333333333,12
353,10,5,0,buy9,5,-0.4062500000000003,8
354,4,0,5,anyCraps,5,-3.3333333333333335,3
355,8,0,5,world,5,1.5714285714285716,7
356,9,0,5,dontComeOdds,5,-10.0,2
357,9,0,5,anyCraps,5,2.0,5
358,10,0,5,bigRed,5,-6.25,8
359,8,5,0,None,0,-1.0000000000000002,5
360,9,0,5,None,0,-5.0,1
361,8,0,5,place10,5,-2.285714285714285,7
362,5,5,0,horn,5,2.678571428571429,7
363,5,5,0,come,5,10.0,3
364,9,0,5,big6,5,-2.5,8
365,8,0,5,lay5,5,-3.9444444444444446,3
366,4,0,5,world,5,3.666666666666667,3
367,8,0,5,place9,5,5.499999999999999,8
368,5,5,0,bigRed,5,7.5,2
369,9,0,5,lay8,5,-0.26041666666666696,4
370,4,5,0,lay8,5,-0.6944444444444452,3
371,5,5,0,cAndE,5,-4.285714285714286,7
372,8,0,5,buy4,5,-2.541666666666666,6
373,5,0,5,lay8,5,0.0,1
374,4,0,5,lay5,5,8.166666666666666,2
375,8,5,0,lay8,5,-0.5208333333333339,2
376,5,5,0,place4,5,-2.6666666666666665,6
377,5,0,5,world,5,-5.0,4
378,9,0,5,cAndE,5,7.142857142857142,7
379,10,5,0,horn,5,-2.5,8
380,4,0,5,place9,5,12.4,5
381,4,5,0,place10,5,-6.999999999999999,8
382,9,5,0,come,5,0.0,2
383,5,5,0,lay8,5,-3.6805555555555562,3
384,6,5,0,buy4,5,2.375,4
385,10,5,0,world,5,-10.0,1
386,10,5,0,lay8,5,-2.625000000000001,5
387,6,0,5,world,5,2.0,3
388,4,0,5,bigRed,5,10.0,4
389,5,0,5,lay6,5,-5.0,2
390,8,5,0,place10,5,2.8,5
391,5,5,0,buy10,5,8.5625,4
392,10,5,0,place10,5,-10.0,2
393,9,5,0,lay8,5,-0.4166666666666674,5
394,5,0,5,None,0,-0.7142857142857142,7
395,5,5,0,field,5,5.0,1
396,6,5,0,place10,5,6.0,3
397,4,5,0,None,0,5.0,1
398,10,0,5,None,0,0.0,2
399,10,5,0,come,5,0.0,2
400,8,0,5,dontComeOdds,5,0.6481481481481486,9
401,4,5,0,anyCraps,5,-5.0,2
402,9,5,0,field,5,-10.0,2
403,9,0,5,dontPassOdds,5,8.333333333333332,1
404,6,5,0,lay6,5,2.638888888888888,3
405,5,5,0,lay9,5,0.0,1
406,5,5,0,None,0,5.0,1
407,6,5,0,lay9,5,-10.0,1
408,10,0,5,dontPassOdds,5,-4.166666666666666,3
409,4,5,0,dontCome,5,0.0,1
410,6,0,5,snakeeyes,10,-4.090909090909092,55
411,8,0,5,bigRed,10,5.000000000000001,14
412,8,0,5,boxcars,10,-9.222222222222225,45
413,8,5,0,buy10,10,9.75,2
414,4,5,0,hard8,10,-8.846153846153847,26
415,9,0,5,buy5,10,11.333333333333334,3
416,8,0,5,hiLo,10,6.842105263157896,38
417,5,5,0,aceDuece,10,-1.1764705882352957,34
418,8,5,0,place6,10,-3.1249999999999973,16
419,8,5,0,snakeeyes,10,-9.347826086956525,46
420,8,5,0,hard10,10,10.714285714285719,7
421,8,0,5,hard6,10,-1.6666666666666667,24
422,5,5,0,hiLo,10,-11.315789473684212,19
423,6,5,0,hiLo,10,-6.1764705882352935,34
424,5,5,0,lay6,10,11.874999999999996,2
425,4,0,5,hiLo,10,-7.777777777777776,18
426,6,5,0,cAndE,10,0.4545454545454546,11
427,9,5,0,anyCraps,10,15.0,3
428,6,0,5,boxcars,10,7.692307692307692,52
429,10,5,0,place6,10,5.166666666666671,10
430,4,0,5,boxcars,10,2.241379310344829,29
431,4,0,5,hard6,10,-4.523809523809524,21
432,6,5,0,yoleven,10,-6.6000000000000005,50
433,5,5,0,snakeeyes,10,5.571428571428572,35
434,6,0,5,hard4,10,8.000000000000002,10
435,4,5,0,yoleven,10,3.636363636363638,22
436,5,5,0,place8,10,11.212121212121216,11
437,6,5,0,boxcars,10,1.491228070175438,57
438,9,0,5,place10,10,-8.333333333333332,3
439,10,5,0,big6,10,-6.428571428571429,7
440,6,5,0,aceDuece,10,-1.05263157894737,38
441,9,5,0,hard6,10,3.3999999999999995,25
442,5,0,5,dontCome,10,5.0,9
443,8,0,5,place9,10,-3.666666666666667,6
444,5,0,5,bigRed,10,2.5,8
445,10,0,5,buy8,10,-9.8125,8
446,5,5,0,yoleven,10,-12.419354838709676,31
447,5,5,0,hard6,10,5.000000000000002,29
448,10,5,0,hard6,10,1.521739130434784,23
449,6,5,0,big8,10,-4.999999999999999,5
450,10,0,5,snakeeyes,10,-9.074074074074073,27
451,8,5,0,hiLo,10,-1.829268292682926,41
452,9,0,5,hard10,10,8.333333333333336,9
453,8,0,5,snakeeyes,10,-9.03508771929825,57
454,5,0,5,boxcars,10,-2.368421052631579,38
455,6,5,0,hard6,10,0.48387096774193566,31
456,8,0,5,yoleven,10,-10.526315789473683,38
457,9,0,5,snakeeyes,10,-8.421052631578949,38
458,9,0,5,place6,10,6.190476190476194,7
459,8,0,5,aceDuece,10,3.64864864864865,37
460,9,5,0,yoleven,10,2.6,25
461,6,0,5,place4,10,-5.5,4
462,10,5,0,big8,10,-6.428571428571429,7
463,5,5,0,place4,10,-10.0,4
464,10,5,0,aceDuece,10,17.173913043478258,23
465,10,0,5,dontCome,10,7.5,8
466,8,0,5,hard8,10,3.2758620689655173,29
467,8,5,0,big8,10,0.0,2
468,10,5,0,hiLo,10,-13.0,15
469,10,0,5,hard6,10,-3.571428571428571,21
470,4,5,0,hard6,10,-8.5,20
471,6,0,5,big8,10,18.333333333333332,3
472,6,0,5,bigRed,10,-3.3306690738754696e-16,12
473,4,5,0,hiLo,10,-11.666666666666666,15
474,4,0,5,aceDuece,10,7.5,20
475,8,5,0,hard6,10,8.142857142857144,35
476,10,5,0,hard8,10,11.0,30
477,4,5,0,hard10,10,5.000000000000001,10
478,4,0,5,dontCome,10,10.714285714285714,7
479,8,0,5,place6,10,1.1538461538461564,13
480,9,5,0,aceDuece,10,-6.29032258064516,31
481,10,5,0,snakeeyes,10,0.384615384615385,26
482,9,0,5,yoleven,10,13.260869565217398,23
483,4,5,0,buy6,10,-6.272727272727273,11
484,5,0,5,world,10,2.333333333333334,3
485,10,5,0,horn,10,-0.3125000000000011,8
486,5,5,0,boxcars,10,-3.3333333333333335,42
487,10,0,5,cAndE,10,-7.5,4
488,6,5,0,passOdds,10,0.9999999999999996,6
489,4,0,5,hard8,10,-5.90909090909091,22
490,6,5,0,buy5,10,-2.0624999999999996,8
491,6,0,5,horn,10,-3.0000000000000004,15
492,4,5,0,place8,10,6.666666666666671,7
493,6,5,0,hard8,10,-2.4999999999999996,28
494,6,0,5,hard10,10,11.363636363636363,11
495,9,5,0,snakeeyes,10,-3.2926829268292686,41
496,10,0,5,place8,10,3.8333333333333357,10
497,5,0,5,snakeeyes,10,-9.285714285714288,35
498,4,0,5,hard10,10,7.500000000000002,4
499,6,5,0,horn,10,-4.090909090909092,11
500,8,5,0,yoleven,10,-6.282051282051282,39
501,9,5,0,boxcars,10,-3.695652173913043,46
502,6,5,0,snakeeyes,10,-5.508474576271184,59
503,5,0,5,hiLo,10,2.0000000000000018,30
504,8,5,0,boxcars,10,1.6037735849056616,53
505,6,0,5,anyCraps,10,6.666666666666668,6
506,4,5,0,aceDuece,10,-5.800000000000001,25
507,8,5,0,bigRed,10,-3.3333333333333326,6
508,9,0,5,hard8,10,-8.636363636363635,22
509,5,0,5,big8,10,-3.571428571428572,7
510,4,5,0,place9,10,-5.333333333333334,6
511,8,5,0,buy6,10,7.444444444444445,9
512,4,5,0,snakeeyes,10,1.4000000000000017,25
513,6,0,5,dontComeOdds,10,-0.8333333333333321,4
514,10,0,5,hard8,10,10.90909090909091,22
515,8,5,0,big6,10,-0.5555555555555559,9
516,6,0,5,cAndE,10,-1.6666666666666674,18
517,8,0,5,buy6,10,-4.76923076923077,13
518,4,5,0,comeOdds,10,-5.0,4
519,4,0,5,place5,10,-7.499999999999999,4
520,5,5,0,world,10,-2.9999999999999996,6
521,10,5,0,place9,10,17.0,5
522,9,5,0,place10,10,-15.0,5
523,4,0,5,place8,10,7.777777777777782,12
524,8,5,0,buy9,10,-8.1875,8
525,10,0,5,hiLo,10,6.538461538461538,13
526,8,5,0,aceDuece,10,-7.0,35
527,8,0,5,dontComeOdds,10,6.250000000000002,4
528,9,0,5,hard6,10,-3.387096774193547,31
529,9,5,0,hard10,10,-10.714285714285714,7
530,4,0,5,buy8,10,-3.8181818181818183,11
531,8,0,5,buy9,10,-8.642857142857142,7
532,9,0,5,aceDuece,10,11.176470588235297,34
533,9,5,0,hiLo,10,0.6666666666666679,30
534,6,5,0,hard4,10,-4.333333333333334,15
535,6,5,0,buy8,10,-2.7058823529411766,17
536,9,0,5,boxcars,10,-1.7567567567567572,37
537,8,0,5,buy10,10,-7.5,4
538,10,5,0,place8,10,15.000000000000005,5
539,4,5,0,buy8,10,13.166666666666664,12
540,10,0,5,hard4,10,-7.0,10
541,8,5,0,cAndE,10,2.5,8
542,10,0,5,buy9,10,-9.0,10
543,8,0,5,place5,10,-6.777777777777778,9
544,4,0,5,snakeeyes,10,0.1515151515151513,33
545,5,0,5,buy9,10,10.1875,8
546,8,0,5,hard4,10,-3.6666666666666665,15
547,6,0,5,hiLo,10,-7.972972972972975,37
548,9,0,5,hiLo,10,-7.4,25
549,8,5,0,horn,10,-8.333333333333334,12
550,8,5,0,buy5,10,2.2499999999999996,10
551,5,5,0,hard8,10,-3.1818181818181825,22
552,5,0,5,lay6,10,6.944444444444443,3
553,9,5,0,buy8,10,-2.125,4
554,6,5,0,come,10,-9.0,5
555,5,0,5,yoleven,10,7.000000000000002,30
556,5,5,0,hard4,10,-11.153846153846153,13
557,8,5,0,hard8,10,-5.357142857142856,28
558,4,5,0,boxcars,10,-12.916666666666666,24
559,6,5,0,buy9,10,-0.1999999999999995,10
560,6,0,5,place5,10,-8.2,5
561,9,0,5,place8,10,-2.499999999999999,10
562,10,5,0,hard10,10,-12.777777777777779,9
563,5,5,0,anyCraps,10,-11.666666666666668,3
564,8,0,5,big6,10,3.5714285714285707,7
565,4,0,5,world,10,-3.0,5
566,10,0,5,bigRed,10,-11.666666666666668,3
567,6,0,5,yoleven,10,-5.24390243902439,41
568,4,5,0,big8,10,-10.0,8
569,6,0,5,aceDuece,10,-2.6923076923076925,39
570,8,0,5,buy5,10,8.0,9
571,9,5,0,hard8,10,1.8181818181818181,22
572,9,5,0,buy6,10,-6.40909090909091,11
573,6,0,5,buy8,10,8.05,10
574,9,0,5,bigRed,10,-11.0,5
